,var,vsa,vca,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
352,ea,impact,indomain_split_random,0.681904,180.245,0.0,5925.0,2322.0,171611441.0,1441408.0,720697.0,0.0,25.0
353,ea,input_order,indomain,0.724429,180.246,0.0,5925.0,2322.0,171528722.0,1337994.0,718550.0,0.0,25.0
354,ea,input_order,indomain_max,0.667495,180.244,0.0,5925.0,2322.0,129415997.0,587765.0,293877.0,0.0,27.0
355,ea,input_order,indomain_median,0.679589,180.245,0.0,5925.0,2322.0,171954137.0,1453231.0,726609.0,0.0,25.0
356,ea,input_order,indomain_min,0.666894,180.245,0.0,5925.0,2322.0,169415750.0,1422616.0,711302.0,0.0,25.0
357,ea,input_order,indomain_random,0.668517,180.247,0.0,5925.0,2322.0,130657796.0,590227.0,295107.0,0.0,27.0
358,ea,input_order,indomain_reverse_split,0.704647,180.246,0.0,5925.0,2322.0,128682790.0,662079.0,331018.0,0.0,63.0
359,ea,input_order,indomain_split,0.697909,180.246,0.0,5925.0,2322.0,170338874.0,1430182.0,715064.0,0.0,73.0
360,ea,input_order,indomain_split_random,0.680917,180.246,0.0,5925.0,2322.0,165801411.0,1391680.0,695833.0,0.0,25.0
361,ea,largest,indomain,0.671933,180.249,0.0,5925.0,2322.0,154889701.0,1192420.0,640371.0,0.0,25.0
362,ea,largest,indomain_max,0.764941,180.277,0.0,5925.0,2322.0,118960989.0,546848.0,273418.0,0.0,27.0
363,ea,largest,indomain_median,0.69574,180.244,0.0,5925.0,2322.0,171781837.0,1427370.0,713678.0,0.0,25.0
364,ea,largest,indomain_min,0.675235,180.274,0.0,5925.0,2322.0,161399596.0,1333974.0,666981.0,0.0,25.0
365,ea,largest,indomain_random,0.671419,180.249,0.0,5925.0,2322.0,50542263.0,194221.0,97103.0,0.0,29.0
366,ea,largest,indomain_reverse_split,0.669242,180.245,0.0,5925.0,2322.0,114759439.0,593552.0,296754.0,0.0,63.0
367,ea,largest,indomain_split,0.781124,180.281,0.0,5925.0,2322.0,141185429.0,1166218.0,583083.0,0.0,73.0
368,ea,largest,indomain_split_random,,,,,,,,,,
369,ea,max_regret,indomain,0.713625,180.249,0.0,5925.0,2322.0,157295196.0,1224790.0,657755.0,0.0,25.0
370,ea,max_regret,indomain_max,0.785006,180.291,0.0,5925.0,2322.0,104170494.0,472611.0,236299.0,0.0,27.0
371,ea,max_regret,indomain_median,,,,,,,,,,
372,ea,max_regret,indomain_min,,,,,,,,,,
373,ea,max_regret,indomain_random,,,,,,,,,,
374,ea,max_regret,indomain_reverse_split,0.691806,180.246,0.0,5925.0,2322.0,122906045.0,632373.0,316166.0,0.0,63.0
375,ea,max_regret,indomain_split,0.733058,180.255,0.0,5925.0,2322.0,159221899.0,1335093.0,667522.0,0.0,73.0
376,ea,max_regret,indomain_split_random,0.783704,180.27,0.0,5925.0,2322.0,146574992.0,1230456.0,615221.0,0.0,25.0
377,ea,most_constrained,indomain,,,,,,,,,,
378,ea,most_constrained,indomain_max,,,,,,,,,,
379,ea,most_constrained,indomain_median,,,,,,,,,,
380,ea,most_constrained,indomain_min,0.788911,180.28,0.0,5925.0,2322.0,144501457.0,1213322.0,606655.0,0.0,25.0
381,ea,most_constrained,indomain_random,,,,,,,,,,
382,ea,most_constrained,indomain_reverse_split,,,,,,,,,,
383,ea,most_constrained,indomain_split,,,,,,,,,,
384,ea,most_constrained,indomain_split_random,,,,,,,,,,
385,ea,occurrence,indomain,,,,,,,,,,
386,ea,occurrence,indomain_max,,,,,,,,,,
387,ea,occurrence,indomain_median,0.780819,180.28,0.0,5925.0,2322.0,130420453.0,1102180.0,551084.0,0.0,25.0
388,ea,occurrence,indomain_min,,,,,,,,,,
389,ea,occurrence,indomain_random,,,,,,,,,,
390,ea,occurrence,indomain_reverse_split,,,,,,,,,,
391,ea,occurrence,indomain_split,,,,,,,,,,
392,ea,occurrence,indomain_split_random,,,,,,,,,,
393,ea,smallest,indomain,,,,,,,,,,
394,ea,smallest,indomain_max,,,,,,,,,,
395,ea,smallest,indomain_median,0.770628,180.293,0.0,5925.0,2322.0,115883425.0,1245218.0,622602.0,0.0,33.0
396,ea,smallest,indomain_min,,,,,,,,,,
397,ea,smallest,indomain_random,,,,,,,,,,
398,ea,smallest,indomain_reverse_split,,,,,,,,,,
399,ea,smallest,indomain_split,,,,,,,,,,
400,ea,smallest,indomain_split_random,,,,,,,,,,
