,var,vsa,vca,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
91,X,dom_w_deg,indomain_median,0.86795,11.9558,5.0,4911.0,3667.0,2973438.0,6871.0,3431.0,0.0,26.0
92,X,dom_w_deg,indomain_min,0.885083,6.78372,7.0,4911.0,3667.0,2072232.0,4307.0,2147.0,0.0,28.0
93,X,dom_w_deg,indomain_random,0.822326,8.45832,6.0,4911.0,3667.0,2466238.0,5095.0,2542.0,0.0,29.0
94,X,dom_w_deg,indomain_reverse_split,1.04689,12.8863,5.0,4911.0,3667.0,4545153.0,12107.0,6049.0,0.0,35.0
95,X,dom_w_deg,indomain_split,0.832662,10.1553,5.0,4911.0,3667.0,3711091.0,12411.0,6201.0,0.0,39.0
96,X,dom_w_deg,indomain_split_random,0.830955,6.64723,7.0,4911.0,3667.0,2072233.0,4307.0,2147.0,0.0,28.0
97,X,first_fail,indomain,0.810897,2.38032,9.0,4911.0,3667.0,815064.0,1562.0,969.0,0.0,14.0
98,X,first_fail,indomain_max,0.862376,2.25804,5.0,4911.0,3667.0,537160.0,1007.0,499.0,0.0,20.0
99,X,first_fail,indomain_median,0.799859,2.42692,6.0,4911.0,3667.0,721944.0,1563.0,776.0,0.0,18.0
100,X,first_fail,indomain_min,0.812694,2.76744,9.0,4911.0,3667.0,799992.0,1937.0,960.0,0.0,21.0
101,X,first_fail,indomain_random,0.819561,1.92334,4.0,4911.0,3667.0,502131.0,1065.0,529.0,0.0,20.0
102,X,first_fail,indomain_reverse_split,0.809728,2.07329,5.0,4911.0,3667.0,485407.0,1001.0,496.0,0.0,21.0
103,X,first_fail,indomain_split,0.813888,2.68649,9.0,4911.0,3667.0,781878.0,1953.0,968.0,0.0,24.0
104,X,first_fail,indomain_split_random,0.82314,2.80083,9.0,4911.0,3667.0,799992.0,1937.0,960.0,0.0,21.0
105,X,impact,indomain,0.839748,7.32063,9.0,4911.0,3667.0,1946796.0,2832.0,1739.0,0.0,13.0
106,X,impact,indomain_max,0.850889,6.006,9.0,4911.0,3667.0,1735964.0,3129.0,1556.0,0.0,20.0
107,X,impact,indomain_median,0.829058,8.1469,4.0,4911.0,3667.0,1970369.0,3347.0,1670.0,0.0,23.0
108,X,impact,indomain_min,0.844219,6.51713,9.0,4911.0,3667.0,1871108.0,3089.0,1536.0,0.0,24.0
109,X,impact,indomain_random,0.847647,7.86269,7.0,4911.0,3667.0,2005884.0,3539.0,1763.0,0.0,21.0
110,X,impact,indomain_reverse_split,0.864914,6.02424,9.0,4911.0,3667.0,1590432.0,3049.0,1516.0,0.0,21.0
111,X,impact,indomain_split,0.82382,6.70147,9.0,4911.0,3667.0,1777519.0,3423.0,1703.0,0.0,20.0
112,X,impact,indomain_split_random,0.957375,6.92241,9.0,4911.0,3667.0,1871108.0,3089.0,1536.0,0.0,24.0
113,X,input_order,indomain,0.912246,7.35331,9.0,4911.0,3667.0,1946796.0,2832.0,1739.0,0.0,13.0
114,X,input_order,indomain_max,0.921163,6.15641,9.0,4911.0,3667.0,1735964.0,3129.0,1556.0,0.0,20.0
115,X,input_order,indomain_median,0.777874,7.70019,4.0,4911.0,3667.0,1970369.0,3347.0,1670.0,0.0,23.0
116,X,input_order,indomain_min,0.950514,6.89125,9.0,4911.0,3667.0,1871108.0,3089.0,1536.0,0.0,24.0
117,X,input_order,indomain_random,0.910582,7.39625,7.0,4911.0,3667.0,2005884.0,3539.0,1763.0,0.0,21.0
118,X,input_order,indomain_reverse_split,0.824391,5.57087,9.0,4911.0,3667.0,1590432.0,3049.0,1516.0,0.0,21.0
119,X,input_order,indomain_split,0.984773,6.91501,9.0,4911.0,3667.0,1777519.0,3423.0,1703.0,0.0,20.0
120,X,input_order,indomain_split_random,0.817488,6.64707,9.0,4911.0,3667.0,1871108.0,3089.0,1536.0,0.0,24.0
121,X,largest,indomain,0.859447,8.68504,6.0,4911.0,3667.0,2381340.0,3511.0,2059.0,0.0,13.0
122,X,largest,indomain_max,,,,,,,,,,
123,X,largest,indomain_median,0.922252,8.91078,3.0,4911.0,3667.0,2393208.0,3883.0,1939.0,0.0,21.0
124,X,largest,indomain_min,0.938612,9.12365,6.0,4911.0,3667.0,2649046.0,4795.0,2392.0,0.0,22.0
125,X,largest,indomain_random,0.844412,14.8966,6.0,4911.0,3667.0,4038802.0,7531.0,3760.0,0.0,25.0
126,X,largest,indomain_reverse_split,,,,,,,,,,
127,X,largest,indomain_split,,,,,,,,,,
128,X,largest,indomain_split_random,0.801275,8.615,6.0,4911.0,3667.0,2649046.0,4795.0,2392.0,0.0,22.0
129,X,max_regret,indomain,0.790888,4.23152,9.0,4911.0,3667.0,1317333.0,2187.0,1385.0,0.0,14.0
130,X,max_regret,indomain_max,0.799203,3.81868,9.0,4911.0,3667.0,1071148.0,2097.0,1040.0,0.0,23.0
131,X,max_regret,indomain_median,0.793417,4.86175,4.0,4911.0,3667.0,1382531.0,2691.0,1342.0,0.0,24.0
132,X,max_regret,indomain_min,,,,,,,,,,
133,X,max_regret,indomain_random,0.785448,5.74546,11.0,4911.0,3667.0,1676744.0,3265.0,1622.0,0.0,27.0
134,X,max_regret,indomain_reverse_split,0.796402,300.282,0.0,4911.0,3667.0,101320365.0,539215.0,269590.0,0.0,59.0
135,X,max_regret,indomain_split,0.783895,234.94,5.0,4911.0,3667.0,56131318.0,379497.0,189742.0,0.0,22.0
136,X,max_regret,indomain_split_random,,,,,,,,,,
137,X,most_constrained,indomain,0.774694,2.22472,9.0,4911.0,3667.0,815064.0,1562.0,969.0,0.0,14.0
138,X,most_constrained,indomain_max,0.9628,2.0891,5.0,4911.0,3667.0,537160.0,1007.0,499.0,0.0,20.0
139,X,most_constrained,indomain_median,0.780198,2.31865,6.0,4911.0,3667.0,721944.0,1563.0,776.0,0.0,18.0
140,X,most_constrained,indomain_min,0.779473,2.68699,9.0,4911.0,3667.0,799992.0,1937.0,960.0,0.0,21.0
141,X,most_constrained,indomain_random,0.77855,1.85022,4.0,4911.0,3667.0,502131.0,1065.0,529.0,0.0,20.0
142,X,most_constrained,indomain_reverse_split,0.780008,1.98802,5.0,4911.0,3667.0,485407.0,1001.0,496.0,0.0,21.0
143,X,most_constrained,indomain_split,0.78499,2.61319,9.0,4911.0,3667.0,781878.0,1953.0,968.0,0.0,24.0
144,X,most_constrained,indomain_split_random,0.778506,2.68262,9.0,4911.0,3667.0,799992.0,1937.0,960.0,0.0,21.0
145,X,occurrence,indomain,0.778644,7.76529,7.0,4911.0,3667.0,2339489.0,3475.0,2036.0,0.0,13.0
146,X,occurrence,indomain_max,,,,,,,,,,
147,X,occurrence,indomain_median,0.779082,4112.89,0.0,4911.0,3667.0,27632565.0,79560.0,39777.0,0.0,31.0
148,X,occurrence,indomain_min,,,,,,,,,,
149,X,occurrence,indomain_random,0.779509,300.283,0.0,4911.0,3667.0,57469888.0,141510.0,70750.0,0.0,54.0
150,X,occurrence,indomain_reverse_split,0.799912,300.288,0.0,4911.0,3667.0,90292380.0,208567.0,104256.0,0.0,82.0
151,X,occurrence,indomain_split,,,,,,,,,,
152,X,occurrence,indomain_split_random,,,,,,,,,,
153,X,smallest,indomain,0.790073,8.12929,9.0,4911.0,3667.0,1946796.0,2832.0,1739.0,0.0,13.0
154,X,smallest,indomain_max,0.917648,6.6912,9.0,4911.0,3667.0,1735964.0,3129.0,1556.0,0.0,20.0
155,X,smallest,indomain_median,0.803357,8.23496,4.0,4911.0,3667.0,1970369.0,3347.0,1670.0,0.0,23.0
156,X,smallest,indomain_min,,,,,,,,,,
157,X,smallest,indomain_random,1.34328,148.845,8.0,4911.0,3667.0,21753111.0,52300.0,26142.0,0.0,36.0
158,X,smallest,indomain_reverse_split,,,,,,,,,,
159,X,smallest,indomain_split,,,,,,,,,,
160,X,smallest,indomain_split_random,,,,,,,,,,
161,distances,anti_first_fail,indomain,,,,,,,,,,
162,distances,anti_first_fail,indomain_max,,,,,,,,,,
163,distances,anti_first_fail,indomain_median,,,,,,,,,,
164,distances,anti_first_fail,indomain_min,,,,,,,,,,
165,distances,anti_first_fail,indomain_random,,,,,,,,,,
166,distances,anti_first_fail,indomain_reverse_split,,,,,,,,,,
167,distances,anti_first_fail,indomain_split,,,,,,,,,,
168,distances,anti_first_fail,indomain_split_random,,,,,,,,,,
169,distances,dom_w_deg,indomain,,,,,,,,,,
170,distances,dom_w_deg,indomain_max,,,,,,,,,,
171,distances,dom_w_deg,indomain_median,,,,,,,,,,
172,distances,dom_w_deg,indomain_min,,,,,,,,,,
173,distances,dom_w_deg,indomain_random,,,,,,,,,,
174,distances,dom_w_deg,indomain_reverse_split,0.793522,300.284,0.0,4911.0,3667.0,168016864.0,1095787.0,547877.0,0.0,56.0
175,distances,dom_w_deg,indomain_split,,,,,,,,,,
176,distances,dom_w_deg,indomain_split_random,,,,,,,,,,
177,distances,first_fail,indomain,0.774366,300.282,0.0,4911.0,3667.0,78825335.0,289302.0,157107.0,0.0,47.0
178,distances,first_fail,indomain_max,,,,,,,,,,
179,distances,first_fail,indomain_median,,,,,,,,,,
180,distances,first_fail,indomain_min,0.778862,300.283,0.0,4911.0,3667.0,58330708.0,292045.0,146006.0,0.0,47.0
181,distances,first_fail,indomain_random,,,,,,,,,,
182,distances,first_fail,indomain_reverse_split,,,,,,,,,,
183,distances,first_fail,indomain_split,,,,,,,,,,
184,distances,first_fail,indomain_split_random,0.778949,300.281,0.0,4911.0,3667.0,58041582.0,290576.0,145274.0,0.0,47.0
185,distances,impact,indomain,0.779671,300.281,0.0,4911.0,3667.0,78750975.0,289041.0,156956.0,0.0,47.0
186,distances,impact,indomain_max,0.779534,300.284,0.0,4911.0,3667.0,122554104.0,682033.0,341012.0,0.0,28.0
187,distances,impact,indomain_median,,,,,,,,,,
188,distances,impact,indomain_min,,,,,,,,,,
189,distances,impact,indomain_random,,,,,,,,,,
190,distances,impact,indomain_reverse_split,,,,,,,,,,
191,distances,impact,indomain_split,0.785591,300.285,0.0,4911.0,3667.0,59698326.0,295567.0,147721.0,0.0,159.0
192,distances,impact,indomain_split_random,,,,,,,,,,
193,distances,input_order,indomain,0.775485,300.281,0.0,4911.0,3667.0,78710868.0,288893.0,156880.0,0.0,47.0
194,distances,input_order,indomain_max,,,,,,,,,,
