,var,vsa,vca,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
175,P,largest,indomain_min,0.785156,9.8661,10.0,5925.0,2322.0,4625160.0,68987.0,34482.0,0.0,26.0
176,P,largest,indomain_random,0.829236,5.03652,7.0,5925.0,2322.0,3175285.0,21243.0,10612.0,0.0,49.0
177,P,largest,indomain_random,0.888352,5.10063,7.0,5925.0,2322.0,3175207.0,21243.0,10612.0,0.0,49.0
178,P,largest,indomain_random,0.870525,4.92715,7.0,5925.0,2322.0,3175207.0,21243.0,10612.0,0.0,49.0
179,P,largest,indomain_random,0.799965,5.01475,7.0,5925.0,2322.0,3175207.0,21243.0,10612.0,0.0,49.0
180,P,largest,indomain_random,0.828315,5.12418,7.0,5925.0,2322.0,3164967.0,21243.0,10612.0,0.0,49.0
181,P,largest,indomain_reverse_split,0.869708,5.70483,4.0,5925.0,2322.0,3967402.0,23917.0,11954.0,0.0,34.0
182,P,largest,indomain_reverse_split,0.785983,5.68077,4.0,5925.0,2322.0,3967402.0,23917.0,11954.0,0.0,34.0
183,P,largest,indomain_reverse_split,0.788761,5.6716,4.0,5925.0,2322.0,3967402.0,23917.0,11954.0,0.0,34.0
184,P,largest,indomain_reverse_split,0.793281,5.65018,4.0,5925.0,2322.0,3967402.0,23917.0,11954.0,0.0,34.0
185,P,largest,indomain_reverse_split,0.809796,5.68025,4.0,5925.0,2322.0,3967402.0,23917.0,11954.0,0.0,34.0
186,P,largest,indomain_split,0.841084,9.17584,10.0,5925.0,2322.0,4692449.0,70779.0,35378.0,0.0,26.0
187,P,largest,indomain_split,0.78289,9.11667,10.0,5925.0,2322.0,4683739.0,70779.0,35378.0,0.0,26.0
188,P,largest,indomain_split,0.786795,9.15147,10.0,5925.0,2322.0,4683739.0,70779.0,35378.0,0.0,26.0
189,P,largest,indomain_split,0.789663,9.15247,10.0,5925.0,2322.0,4692449.0,70779.0,35378.0,0.0,26.0
190,P,largest,indomain_split,0.787271,9.24217,10.0,5925.0,2322.0,4692449.0,70779.0,35378.0,0.0,26.0
191,P,largest,indomain_split_random,0.790289,8.95162,10.0,5925.0,2322.0,4616259.0,68987.0,34482.0,0.0,26.0
192,P,largest,indomain_split_random,0.786486,8.98317,10.0,5925.0,2322.0,4616259.0,68987.0,34482.0,0.0,26.0
193,P,largest,indomain_split_random,0.787902,8.9693,10.0,5925.0,2322.0,4616259.0,68987.0,34482.0,0.0,26.0
194,P,largest,indomain_split_random,0.785605,9.92385,10.0,5925.0,2322.0,4616259.0,68987.0,34482.0,0.0,26.0
195,P,largest,indomain_split_random,0.917422,10.0637,10.0,5925.0,2322.0,4616025.0,68987.0,34482.0,0.0,26.0
196,P,max_regret,indomain,0.793359,5.57576,10.0,5925.0,2322.0,3553825.0,22827.0,12355.0,0.0,26.0
197,P,max_regret,indomain,0.780807,5.53585,10.0,5925.0,2322.0,3553411.0,22827.0,12355.0,0.0,26.0
198,P,max_regret,indomain,0.783511,5.53474,10.0,5925.0,2322.0,3553495.0,22827.0,12355.0,0.0,26.0
199,P,max_regret,indomain,0.778507,5.52672,10.0,5925.0,2322.0,3553411.0,22827.0,12355.0,0.0,26.0
200,P,max_regret,indomain,0.788377,5.56323,10.0,5925.0,2322.0,3553825.0,22827.0,12355.0,0.0,26.0
201,P,max_regret,indomain_max,0.785245,5.51377,6.0,5925.0,2322.0,3563233.0,19717.0,9851.0,0.0,33.0
202,P,max_regret,indomain_max,0.79196,5.5228,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
203,P,max_regret,indomain_max,0.792253,5.51929,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
204,P,max_regret,indomain_max,0.784786,5.59636,6.0,5925.0,2322.0,3575090.0,19717.0,9851.0,0.0,33.0
205,P,max_regret,indomain_max,0.786026,5.51843,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
206,P,max_regret,indomain_min,0.792239,5.4572,10.0,5925.0,2322.0,3553379.0,21545.0,10760.0,0.0,25.0
207,P,max_regret,indomain_min,0.795287,5.4838,10.0,5925.0,2322.0,3553379.0,21545.0,10760.0,0.0,25.0
208,P,max_regret,indomain_min,0.780181,5.47982,10.0,5925.0,2322.0,3553025.0,21545.0,10760.0,0.0,25.0
209,P,max_regret,indomain_min,0.794577,5.54214,10.0,5925.0,2322.0,3553379.0,21545.0,10760.0,0.0,25.0
210,P,max_regret,indomain_min,0.785055,5.50111,10.0,5925.0,2322.0,3553025.0,21545.0,10760.0,0.0,25.0
211,P,max_regret,indomain_random,0.78116,6.24195,6.0,5925.0,2322.0,4126654.0,25233.0,12608.0,0.0,36.0
